forecast_id,scenario_key,cost_center_id,cost_center_name,legal_entity_id,legal_entity_name,fiscal_year,fiscal_quarter,fiscal_quarter_name,record_type,forecast_amount,forecast_version,forecast_type,forecast_date,currency
0,1006_100001_Q3 2025,1006,Finance,100001,Acme Corporation,2025,3,Q3 2025,FORECAST,9746171.57,V1,ROLLING,2025-08-01,USD
1,1005_100005_Q4 2023,1005,R&D,100005,Enterprise Solutions Group,2023,4,Q4 2023,FORECAST,11323218.43,V1,ROLLING,2023-11-01,USD
2,1000_100002_Q1 2026,1000,Executive,100002,Global Industries Inc,2026,1,Q1 2026,FORECAST,862107.59,V1,ROLLING,2026-02-01,USD
3,1004_100005_Q3 2023,1004,Engineering,100005,Enterprise Solutions Group,2023,3,Q3 2023,FORECAST,10708188.85,V1,ROLLING,2023-08-01,USD
4,1005_100002_Q3 2025,1005,R&D,100002,Global Industries Inc,2025,3,Q3 2025,FORECAST,8361410.14,V1,ROLLING,2025-08-01,USD
5,1004_100001_Q1 2026,1004,Engineering,100001,Acme Corporation,2026,1,Q1 2026,FORECAST,665370.09,V1,ROLLING,2026-02-01,USD
6,1001_100005_Q4 2023,1001,Corporate,100005,Enterprise Solutions Group,2023,4,Q4 2023,FORECAST,8661136.63,V1,ROLLING,2023-11-01,USD
7,1003_100004_Q3 2023,1003,Marketing Department,100004,International Holdings Ltd,2023,3,Q3 2023,FORECAST,10116275.54,V1,ROLLING,2023-08-01,USD
8,1005_100003_Q1 2024,1005,R&D,100003,TechVentures LLC,2024,1,Q1 2024,FORECAST,7757959.48,V1,ROLLING,2024-02-01,USD
9,1000_100004_Q2 2024,1000,Executive,100004,International Holdings Ltd,2024,2,Q2 2024,FORECAST,8897735.40,V1,ROLLING,2024-05-01,USD
10,1001_100002_Q1 2026,1001,Corporate,100002,Global Industries Inc,2026,1,Q1 2026,FORECAST,755466.01,V1,ROLLING,2026-02-01,USD
11,1004_100005_Q1 2025,1004,Engineering,100005,Enterprise Solutions Group,2025,1,Q1 2025,FORECAST,13437369.07,V1,ROLLING,2025-02-01,USD
12,1004_100003_Q4 2024,1004,Engineering,100003,TechVentures LLC,2024,4,Q4 2024,FORECAST,12382307.19,V1,ROLLING,2024-11-01,USD
13,1006_100001_Q2 2025,1006,Finance,100001,Acme Corporation,2025,2,Q2 2025,FORECAST,8104663.40,V1,ROLLING,2025-05-01,USD
14,1004_100004_Q2 2024,1004,Engineering,100004,International Holdings Ltd,2024,2,Q2 2024,FORECAST,7420409.74,V1,ROLLING,2024-05-01,USD
15,1007_100001_Q3 2025,1007,Manufacturing,100001,Acme Corporation,2025,3,Q3 2025,FORECAST,7734305.73,V1,ROLLING,2025-08-01,USD
16,1003_100001_Q2 2025,1003,Marketing Department,100001,Acme Corporation,2025,2,Q2 2025,FORECAST,9527682.26,V1,ROLLING,2025-05-01,USD
17,1003_100004_Q4 2023,1003,Marketing Department,100004,International Holdings Ltd,2023,4,Q4 2023,FORECAST,8536797.75,V1,ROLLING,2023-11-01,USD
18,1004_100001_Q2 2023,1004,Engineering,100001,Acme Corporation,2023,2,Q2 2023,FORECAST,8082673.92,V1,ROLLING,2023-05-01,USD
19,1007_100001_Q1 2026,1007,Manufacturing,100001,Acme Corporation,2026,1,Q1 2026,FORECAST,774321.39,V1,ROLLING,2026-02-01,USD
20,1006_100004_Q2 2023,1006,Finance,100004,International Holdings Ltd,2023,2,Q2 2023,FORECAST,10961674.85,V1,ROLLING,2023-05-01,USD
21,1007_100002_Q1 2025,1007,Manufacturing,100002,Global Industries Inc,2025,1,Q1 2025,FORECAST,11345093.08,V1,ROLLING,2025-02-01,USD
22,1002_100003_Q1 2026,1002,Sales Department,100003,TechVentures LLC,2026,1,Q1 2026,FORECAST,562238.85,V1,ROLLING,2026-02-01,USD
23,1001_100002_Q2 2023,1001,Corporate,100002,Global Industries Inc,2023,2,Q2 2023,FORECAST,8347736.86,V1,ROLLING,2023-05-01,USD
24,1000_100002_Q3 2024,1000,Executive,100002,Global Industries Inc,2024,3,Q3 2024,FORECAST,8926342.23,V1,ROLLING,2024-08-01,USD
25,1001_100005_Q3 2025,1001,Corporate,100005,Enterprise Solutions Group,2025,3,Q3 2025,FORECAST,7583986.97,V1,ROLLING,2025-08-01,USD
26,1007_100001_Q3 2023,1007,Manufacturing,100001,Acme Corporation,2023,3,Q3 2023,FORECAST,9631474.38,V1,ROLLING,2023-08-01,USD
27,1002_100004_Q1 2026,1002,Sales Department,100004,International Holdings Ltd,2026,1,Q1 2026,FORECAST,1048732.69,V1,ROLLING,2026-02-01,USD
28,1001_100001_Q1 2024,1001,Corporate,100001,Acme Corporation,2024,1,Q1 2024,FORECAST,8653085.12,V1,ROLLING,2024-02-01,USD
29,1003_100002_Q4 2023,1003,Marketing Department,100002,Global Industries Inc,2023,4,Q4 2023,FORECAST,10059651.50,V1,ROLLING,2023-11-01,USD
30,1005_100002_Q1 2024,1005,R&D,100002,Global Industries Inc,2024,1,Q1 2024,FORECAST,7650410.69,V1,ROLLING,2024-02-01,USD
31,1004_100004_Q4 2025,1004,Engineering,100004,International Holdings Ltd,2025,4,Q4 2025,FORECAST,7702189.57,V1,ROLLING,2025-11-01,USD
32,1000_100003_Q2 2023,1000,Executive,100003,TechVentures LLC,2023,2,Q2 2023,FORECAST,11729927.18,V1,ROLLING,2023-05-01,USD
33,1003_100004_Q1 2024,1003,Marketing Department,100004,International Holdings Ltd,2024,1,Q1 2024,FORECAST,7927449.29,V1,ROLLING,2024-02-01,USD
34,1005_100004_Q3 2025,1005,R&D,100004,International Holdings Ltd,2025,3,Q3 2025,FORECAST,11168381.18,V1,ROLLING,2025-08-01,USD
35,1006_100004_Q3 2025,1006,Finance,100004,International Holdings Ltd,2025,3,Q3 2025,FORECAST,11700677.53,V1,ROLLING,2025-08-01,USD
36,1002_100003_Q1 2023,1002,Sales Department,100003,TechVentures LLC,2023,1,Q1 2023,FORECAST,3238797.94,V1,ROLLING,2023-02-01,USD
37,1004_100003_Q2 2025,1004,Engineering,100003,TechVentures LLC,2025,2,Q2 2025,FORECAST,10010847.85,V1,ROLLING,2025-05-01,USD
38,1004_100004_Q3 2024,1004,Engineering,100004,International Holdings Ltd,2024,3,Q3 2024,FORECAST,8712151.71,V1,ROLLING,2024-08-01,USD
39,1000_100001_Q4 2025,1000,Executive,100001,Acme Corporation,2025,4,Q4 2025,FORECAST,8536617.68,V1,ROLLING,2025-11-01,USD
40,1005_100002_Q2 2024,1005,R&D,100002,Global Industries Inc,2024,2,Q2 2024,FORECAST,8906055.53,V1,ROLLING,2024-05-01,USD
41,1002_100003_Q3 2025,1002,Sales Department,100003,TechVentures LLC,2025,3,Q3 2025,FORECAST,7303743.99,V1,ROLLING,2025-08-01,USD
42,1001_100001_Q1 2023,1001,Corporate,100001,Acme Corporation,2023,1,Q1 2023,FORECAST,4568689.03,V1,ROLLING,2023-02-01,USD
43,1002_100003_Q1 2024,1002,Sales Department,100003,TechVentures LLC,2024,1,Q1 2024,FORECAST,8687528.16,V1,ROLLING,2024-02-01,USD
44,1007_100003_Q3 2023,1007,Manufacturing,100003,TechVentures LLC,2023,3,Q3 2023,FORECAST,10000018.03,V1,ROLLING,2023-08-01,USD
45,1005_100003_Q1 2025,1005,R&D,100003,TechVentures LLC,2025,1,Q1 2025,FORECAST,9980470.83,V1,ROLLING,2025-02-01,USD
46,1000_100002_Q1 2024,1000,Executive,100002,Global Industries Inc,2024,1,Q1 2024,FORECAST,9468288.20,V1,ROLLING,2024-02-01,USD
47,1000_100003_Q3 2025,1000,Executive,100003,TechVentures LLC,2025,3,Q3 2025,FORECAST,10441769.62,V1,ROLLING,2025-08-01,USD
48,1006_100002_Q1 2023,1006,Finance,100002,Global Industries Inc,2023,1,Q1 2023,FORECAST,3633726.57,V1,ROLLING,2023-02-01,USD
49,1005_100002_Q4 2025,1005,R&D,100002,Global Industries Inc,2025,4,Q4 2025,FORECAST,9348990.32,V1,ROLLING,2025-11-01,USD
50,1005_100005_Q2 2025,1005,R&D,100005,Enterprise Solutions Group,2025,2,Q2 2025,FORECAST,9723891.33,V1,ROLLING,2025-05-01,USD
51,1003_100002_Q1 2025,1003,Marketing Department,100002,Global Industries Inc,2025,1,Q1 2025,FORECAST,12212828.86,V1,ROLLING,2025-02-01,USD
52,1001_100001_Q4 2024,1001,Corporate,100001,Acme Corporation,2024,4,Q4 2024,FORECAST,10668694.24,V1,ROLLING,2024-11-01,USD
53,1002_100004_Q3 2024,1002,Sales Department,100004,International Holdings Ltd,2024,3,Q3 2024,FORECAST,9223819.15,V1,ROLLING,2024-08-01,USD
54,1007_100002_Q1 2026,1007,Manufacturing,100002,Global Industries Inc,2026,1,Q1 2026,FORECAST,722163.97,V1,ROLLING,2026-02-01,USD
55,1001_100001_Q1 2026,1001,Corporate,100001,Acme Corporation,2026,1,Q1 2026,FORECAST,578948.88,V1,ROLLING,2026-02-01,USD
56,1004_100004_Q4 2023,1004,Engineering,100004,International Holdings Ltd,2023,4,Q4 2023,FORECAST,9299346.14,V1,ROLLING,2023-11-01,USD
57,1004_100005_Q1 2026,1004,Engineering,100005,Enterprise Solutions Group,2026,1,Q1 2026,FORECAST,843088.82,V1,ROLLING,2026-02-01,USD
58,1005_100005_Q1 2024,1005,R&D,100005,Enterprise Solutions Group,2024,1,Q1 2024,FORECAST,10885388.90,V1,ROLLING,2024-02-01,USD
59,1003_100003_Q2 2023,1003,Marketing Department,100003,TechVentures LLC,2023,2,Q2 2023,FORECAST,9621697.09,V1,ROLLING,2023-05-01,USD
60,1005_100004_Q2 2025,1005,R&D,100004,International Holdings Ltd,2025,2,Q2 2025,FORECAST,9760510.68,V1,ROLLING,2025-05-01,USD
61,1003_100005_Q4 2025,1003,Marketing Department,100005,Enterprise Solutions Group,2025,4,Q4 2025,FORECAST,8624263.69,V1,ROLLING,2025-11-01,USD
62,1000_100005_Q4 2023,1000,Executive,100005,Enterprise Solutions Group,2023,4,Q4 2023,FORECAST,12144048.35,V1,ROLLING,2023-11-01,USD
63,1001_100005_Q1 2026,1001,Corporate,100005,Enterprise Solutions Group,2026,1,Q1 2026,FORECAST,605878.67,V1,ROLLING,2026-02-01,USD
64,1007_100001_Q1 2023,1007,Manufacturing,100001,Acme Corporation,2023,1,Q1 2023,FORECAST,3231707.03,V1,ROLLING,2023-02-01,USD
65,1007_100001_Q1 2024,1007,Manufacturing,100001,Acme Corporation,2024,1,Q1 2024,FORECAST,8442775.99,V1,ROLLING,2024-02-01,USD
66,1006_100001_Q1 2025,1006,Finance,100001,Acme Corporation,2025,1,Q1 2025,FORECAST,12097973.17,V1,ROLLING,2025-02-01,USD
67,1003_100001_Q3 2023,1003,Marketing Department,100001,Acme Corporation,2023,3,Q3 2023,FORECAST,11703531.04,V1,ROLLING,2023-08-01,USD
68,1005_100002_Q4 2023,1005,R&D,100002,Global Industries Inc,2023,4,Q4 2023,FORECAST,12305261.79,V1,ROLLING,2023-11-01,USD
69,1003_100001_Q1 2026,1003,Marketing Department,100001,Acme Corporation,2026,1,Q1 2026,FORECAST,669161.75,V1,ROLLING,2026-02-01,USD
70,1006_100002_Q1 2024,1006,Finance,100002,Global Industries Inc,2024,1,Q1 2024,FORECAST,10372420.24,V1,ROLLING,2024-02-01,USD
71,1000_100003_Q3 2024,1000,Executive,100003,TechVentures LLC,2024,3,Q3 2024,FORECAST,10245793.76,V1,ROLLING,2024-08-01,USD
72,1007_100002_Q1 2024,1007,Manufacturing,100002,Global Industries Inc,2024,1,Q1 2024,FORECAST,9715817.96,V1,ROLLING,2024-02-01,USD
73,1003_100002_Q1 2026,1003,Marketing Department,100002,Global Industries Inc,2026,1,Q1 2026,FORECAST,808898.90,V1,ROLLING,2026-02-01,USD
74,1005_100002_Q2 2025,1005,R&D,100002,Global Industries Inc,2025,2,Q2 2025,FORECAST,12338720.90,V1,ROLLING,2025-05-01,USD
75,1000_100005_Q4 2024,1000,Executive,100005,Enterprise Solutions Group,2024,4,Q4 2024,FORECAST,12686195.50,V1,ROLLING,2024-11-01,USD
76,1006_100005_Q2 2024,1006,Finance,100005,Enterprise Solutions Group,2024,2,Q2 2024,FORECAST,7900663.18,V1,ROLLING,2024-05-01,USD
77,1004_100004_Q4 2024,1004,Engineering,100004,International Holdings Ltd,2024,4,Q4 2024,FORECAST,9136755.73,V1,ROLLING,2024-11-01,USD
78,1004_100004_Q2 2025,1004,Engineering,100004,International Holdings Ltd,2025,2,Q2 2025,FORECAST,12754016.74,V1,ROLLING,2025-05-01,USD
79,1000_100004_Q3 2024,1000,Executive,100004,International Holdings Ltd,2024,3,Q3 2024,FORECAST,9424544.12,V1,ROLLING,2024-08-01,USD
80,1000_100004_Q4 2024,1000,Executive,100004,International Holdings Ltd,2024,4,Q4 2024,FORECAST,12816546.43,V1,ROLLING,2024-11-01,USD
81,1007_100001_Q1 2025,1007,Manufacturing,100001,Acme Corporation,2025,1,Q1 2025,FORECAST,12422360.83,V1,ROLLING,2025-02-01,USD
82,1001_100004_Q3 2024,1001,Corporate,100004,International Holdings Ltd,2024,3,Q3 2024,FORECAST,10011177.64,V1,ROLLING,2024-08-01,USD
83,1003_100005_Q3 2025,1003,Marketing Department,100005,Enterprise Solutions Group,2025,3,Q3 2025,FORECAST,10538213.82,V1,ROLLING,2025-08-01,USD
84,1001_100003_Q2 2025,1001,Corporate,100003,TechVentures LLC,2025,2,Q2 2025,FORECAST,8822117.81,V1,ROLLING,2025-05-01,USD
85,1003_100001_Q1 2023,1003,Marketing Department,100001,Acme Corporation,2023,1,Q1 2023,FORECAST,3628655.28,V1,ROLLING,2023-02-01,USD
86,1000_100003_Q1 2024,1000,Executive,100003,TechVentures LLC,2024,1,Q1 2024,FORECAST,11952368.56,V1,ROLLING,2024-02-01,USD
87,1002_100003_Q4 2023,1002,Sales Department,100003,TechVentures LLC,2023,4,Q4 2023,FORECAST,11437744.86,V1,ROLLING,2023-11-01,USD
88,1006_100005_Q1 2025,1006,Finance,100005,Enterprise Solutions Group,2025,1,Q1 2025,FORECAST,9344119.83,V1,ROLLING,2025-02-01,USD
89,1006_100002_Q4 2024,1006,Finance,100002,Global Industries Inc,2024,4,Q4 2024,FORECAST,10802988.08,V1,ROLLING,2024-11-01,USD
90,1003_100003_Q4 2024,1003,Marketing Department,100003,TechVentures LLC,2024,4,Q4 2024,FORECAST,10830588.91,V1,ROLLING,2024-11-01,USD
91,1007_100005_Q3 2025,1007,Manufacturing,100005,Enterprise Solutions Group,2025,3,Q3 2025,FORECAST,8448322.36,V1,ROLLING,2025-08-01,USD
92,1000_100004_Q4 2023,1000,Executive,100004,International Holdings Ltd,2023,4,Q4 2023,FORECAST,9420028.42,V1,ROLLING,2023-11-01,USD
93,1004_100001_Q1 2023,1004,Engineering,100001,Acme Corporation,2023,1,Q1 2023,FORECAST,4316107.17,V1,ROLLING,2023-02-01,USD
94,1002_100004_Q1 2025,1002,Sales Department,100004,International Holdings Ltd,2025,1,Q1 2025,FORECAST,11672011.37,V1,ROLLING,2025-02-01,USD
95,1003_100002_Q3 2023,1003,Marketing Department,100002,Global Industries Inc,2023,3,Q3 2023,FORECAST,7768737.32,V1,ROLLING,2023-08-01,USD
96,1006_100003_Q1 2023,1006,Finance,100003,TechVentures LLC,2023,1,Q1 2023,FORECAST,3992481.12,V1,ROLLING,2023-02-01,USD
97,1005_100002_Q1 2026,1005,R&D,100002,Global Industries Inc,2026,1,Q1 2026,FORECAST,803886.71,V1,ROLLING,2026-02-01,USD
98,1004_100003_Q1 2025,1004,Engineering,100003,TechVentures LLC,2025,1,Q1 2025,FORECAST,10423598.87,V1,ROLLING,2025-02-01,USD
99,1001_100001_Q3 2024,1001,Corporate,100001,Acme Corporation,2024,3,Q3 2024,FORECAST,9922761.94,V1,ROLLING,2024-08-01,USD
