budget_id,scenario_key,cost_center_id,cost_center_name,legal_entity_id,legal_entity_name,fiscal_year,fiscal_quarter,fiscal_quarter_name,record_type,budget_amount,actual_amount,variance_amount,variance_percent,budget_version,approved_date,currency,created_date
0,1006_100001_Q3 2025,1006,Finance,100001,Acme Corporation,2025,3,Q3 2025,BUDGET,9358796.44,8954682.86,404113.58,4.51,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
1,1005_100005_Q4 2023,1005,R&D,100005,Enterprise Solutions Group,2023,4,Q4 2023,BUDGET,9444870.52,9972200.69,-527330.17,-5.29,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
2,1000_100002_Q1 2026,1000,Executive,100002,Global Industries Inc,2026,1,Q1 2026,BUDGET,791044.32,772583.84,18460.48,2.39,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
3,1004_100005_Q3 2023,1004,Engineering,100005,Enterprise Solutions Group,2023,3,Q3 2023,BUDGET,9266919.91,8604891.29,662028.62,7.69,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
4,1005_100002_Q3 2025,1005,R&D,100002,Global Industries Inc,2025,3,Q3 2025,BUDGET,9588664.78,9039724.08,548940.70,6.07,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
5,1004_100001_Q1 2026,1004,Engineering,100001,Acme Corporation,2026,1,Q1 2026,BUDGET,597792.30,537888.12,59904.18,11.14,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
6,1001_100005_Q4 2023,1001,Corporate,100005,Enterprise Solutions Group,2023,4,Q4 2023,BUDGET,11340295.27,10088185.93,1252109.34,12.41,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
7,1003_100004_Q3 2023,1003,Marketing Department,100004,International Holdings Ltd,2023,3,Q3 2023,BUDGET,8779440.50,8768965.64,10474.86,0.12,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
8,1005_100003_Q1 2024,1005,R&D,100003,TechVentures LLC,2024,1,Q1 2024,BUDGET,9303684.07,8922382.09,381301.98,4.27,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
9,1000_100004_Q2 2024,1000,Executive,100004,International Holdings Ltd,2024,2,Q2 2024,BUDGET,12659391.43,10618571.26,2040820.17,19.22,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
10,1001_100002_Q1 2026,1001,Corporate,100002,Global Industries Inc,2026,1,Q1 2026,BUDGET,843357.11,729198.30,114158.81,15.66,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
11,1004_100005_Q1 2025,1004,Engineering,100005,Enterprise Solutions Group,2025,1,Q1 2025,BUDGET,9834365.10,10484567.74,-650202.64,-6.20,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
12,1004_100003_Q4 2024,1004,Engineering,100003,TechVentures LLC,2024,4,Q4 2024,BUDGET,10593492.51,9606836.18,986656.33,10.27,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
13,1006_100001_Q2 2025,1006,Finance,100001,Acme Corporation,2025,2,Q2 2025,BUDGET,11063563.46,9319907.30,1743656.16,18.71,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
14,1004_100004_Q2 2024,1004,Engineering,100004,International Holdings Ltd,2024,2,Q2 2024,BUDGET,8730721.75,9080418.91,-349697.16,-3.85,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
15,1007_100001_Q3 2025,1007,Manufacturing,100001,Acme Corporation,2025,3,Q3 2025,BUDGET,10198888.41,8616461.33,1582427.08,18.37,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
16,1003_100001_Q2 2025,1003,Marketing Department,100001,Acme Corporation,2025,2,Q2 2025,BUDGET,10461662.19,9518721.24,942940.95,9.91,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
17,1003_100004_Q4 2023,1003,Marketing Department,100004,International Holdings Ltd,2023,4,Q4 2023,BUDGET,9972088.17,10325745.94,-353657.77,-3.43,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
18,1004_100001_Q2 2023,1004,Engineering,100001,Acme Corporation,2023,2,Q2 2023,BUDGET,9030311.76,8087749.70,942562.06,11.65,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
19,1007_100001_Q1 2026,1007,Manufacturing,100001,Acme Corporation,2026,1,Q1 2026,BUDGET,662177.82,626712.03,35465.79,5.66,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
20,1006_100004_Q2 2023,1006,Finance,100004,International Holdings Ltd,2023,2,Q2 2023,BUDGET,9705713.85,9148524.42,557189.43,6.09,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
21,1007_100002_Q1 2025,1007,Manufacturing,100002,Global Industries Inc,2025,1,Q1 2025,BUDGET,10730124.45,9680061.99,1050062.46,10.85,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
22,1002_100003_Q1 2026,1002,Sales Department,100003,TechVentures LLC,2026,1,Q1 2026,BUDGET,651498.96,647705.82,3793.14,0.59,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
23,1001_100002_Q2 2023,1001,Corporate,100002,Global Industries Inc,2023,2,Q2 2023,BUDGET,8096066.48,8292997.01,-196930.53,-2.37,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
24,1000_100002_Q3 2024,1000,Executive,100002,Global Industries Inc,2024,3,Q3 2024,BUDGET,10575843.60,8897758.41,1678085.19,18.86,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
25,1001_100005_Q3 2025,1001,Corporate,100005,Enterprise Solutions Group,2025,3,Q3 2025,BUDGET,9005927.09,9184939.09,-179012.00,-1.95,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
26,1007_100001_Q3 2023,1007,Manufacturing,100001,Acme Corporation,2023,3,Q3 2023,BUDGET,9442421.06,8453656.07,988764.99,11.70,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
27,1002_100004_Q1 2026,1002,Sales Department,100004,International Holdings Ltd,2026,1,Q1 2026,BUDGET,779220.48,820969.83,-41749.35,-5.09,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
28,1001_100001_Q1 2024,1001,Corporate,100001,Acme Corporation,2024,1,Q1 2024,BUDGET,8720452.63,8755631.84,-35179.21,-0.40,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
29,1003_100002_Q4 2023,1003,Marketing Department,100002,Global Industries Inc,2023,4,Q4 2023,BUDGET,12230199.75,10608556.07,1621643.68,15.29,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
30,1005_100002_Q1 2024,1005,R&D,100002,Global Industries Inc,2024,1,Q1 2024,BUDGET,8671499.94,9028446.86,-356946.92,-3.95,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
31,1004_100004_Q4 2025,1004,Engineering,100004,International Holdings Ltd,2025,4,Q4 2025,BUDGET,8164424.94,8780312.35,-615887.41,-7.01,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
32,1000_100003_Q2 2023,1000,Executive,100003,TechVentures LLC,2023,2,Q2 2023,BUDGET,10298210.66,9707719.03,590491.63,6.08,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
33,1003_100004_Q1 2024,1003,Marketing Department,100004,International Holdings Ltd,2024,1,Q1 2024,BUDGET,8127015.17,8397568.06,-270552.89,-3.22,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
34,1005_100004_Q3 2025,1005,R&D,100004,International Holdings Ltd,2025,3,Q3 2025,BUDGET,9947994.65,9046720.06,901274.59,9.96,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
35,1006_100004_Q3 2025,1006,Finance,100004,International Holdings Ltd,2025,3,Q3 2025,BUDGET,10107855.76,9341002.36,766853.40,8.21,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
36,1002_100003_Q1 2023,1002,Sales Department,100003,TechVentures LLC,2023,1,Q1 2023,BUDGET,3606654.67,3125104.21,481550.46,15.41,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
37,1004_100003_Q2 2025,1004,Engineering,100003,TechVentures LLC,2025,2,Q2 2025,BUDGET,11520930.56,10039446.68,1481483.88,14.76,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
38,1004_100004_Q3 2024,1004,Engineering,100004,International Holdings Ltd,2024,3,Q3 2024,BUDGET,8008830.29,8718578.54,-709748.25,-8.14,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
39,1000_100001_Q4 2025,1000,Executive,100001,Acme Corporation,2025,4,Q4 2025,BUDGET,8771525.06,8305970.23,465554.83,5.61,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
40,1005_100002_Q2 2024,1005,R&D,100002,Global Industries Inc,2024,2,Q2 2024,BUDGET,9832016.84,9491723.36,340293.48,3.59,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
41,1002_100003_Q3 2025,1002,Sales Department,100003,TechVentures LLC,2025,3,Q3 2025,BUDGET,10097917.62,8791510.18,1306407.44,14.86,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
42,1001_100001_Q1 2023,1001,Corporate,100001,Acme Corporation,2023,1,Q1 2023,BUDGET,3397334.21,3610282.52,-212948.31,-5.90,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
43,1002_100003_Q1 2024,1002,Sales Department,100003,TechVentures LLC,2024,1,Q1 2024,BUDGET,8793402.65,8203394.88,590007.77,7.19,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
44,1007_100003_Q3 2023,1007,Manufacturing,100003,TechVentures LLC,2023,3,Q3 2023,BUDGET,7991573.30,8761966.01,-770392.71,-8.79,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
45,1005_100003_Q1 2025,1005,R&D,100003,TechVentures LLC,2025,1,Q1 2025,BUDGET,11560979.27,10500984.02,1059995.25,10.09,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
46,1000_100002_Q1 2024,1000,Executive,100002,Global Industries Inc,2024,1,Q1 2024,BUDGET,10438500.01,9592967.99,845532.02,8.81,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
47,1000_100003_Q3 2025,1000,Executive,100003,TechVentures LLC,2025,3,Q3 2025,BUDGET,9548064.12,9456344.91,91719.21,0.97,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
48,1006_100002_Q1 2023,1006,Finance,100002,Global Industries Inc,2023,1,Q1 2023,BUDGET,3769274.45,3193665.62,575608.83,18.02,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
49,1005_100002_Q4 2025,1005,R&D,100002,Global Industries Inc,2025,4,Q4 2025,BUDGET,9016220.62,8562059.61,454161.01,5.30,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
50,1005_100005_Q2 2025,1005,R&D,100005,Enterprise Solutions Group,2025,2,Q2 2025,BUDGET,9773310.62,9791748.60,-18437.98,-0.19,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
51,1003_100002_Q1 2025,1003,Marketing Department,100002,Global Industries Inc,2025,1,Q1 2025,BUDGET,11757504.81,9876242.75,1881262.06,19.05,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
52,1001_100001_Q4 2024,1001,Corporate,100001,Acme Corporation,2024,4,Q4 2024,BUDGET,9062485.85,9461459.91,-398974.06,-4.22,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
53,1002_100004_Q3 2024,1002,Sales Department,100004,International Holdings Ltd,2024,3,Q3 2024,BUDGET,8754286.82,8323044.75,431242.07,5.18,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
54,1007_100002_Q1 2026,1007,Manufacturing,100002,Global Industries Inc,2026,1,Q1 2026,BUDGET,718470.14,763086.14,-44616.00,-5.85,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
55,1001_100001_Q1 2026,1001,Corporate,100001,Acme Corporation,2026,1,Q1 2026,BUDGET,645004.61,604152.35,40852.26,6.76,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
56,1004_100004_Q4 2023,1004,Engineering,100004,International Holdings Ltd,2023,4,Q4 2023,BUDGET,9939545.11,10401570.73,-462025.62,-4.44,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
57,1004_100005_Q1 2026,1004,Engineering,100005,Enterprise Solutions Group,2026,1,Q1 2026,BUDGET,704177.93,659456.06,44721.87,6.78,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
58,1005_100005_Q1 2024,1005,R&D,100005,Enterprise Solutions Group,2024,1,Q1 2024,BUDGET,10093585.14,8608055.45,1485529.69,17.26,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
59,1003_100003_Q2 2023,1003,Marketing Department,100003,TechVentures LLC,2023,2,Q2 2023,BUDGET,8244113.28,7822186.43,421926.85,5.39,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
60,1005_100004_Q2 2025,1005,R&D,100004,International Holdings Ltd,2025,2,Q2 2025,BUDGET,11423834.76,9790578.11,1633256.65,16.68,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
61,1003_100005_Q4 2025,1003,Marketing Department,100005,Enterprise Solutions Group,2025,4,Q4 2025,BUDGET,9209703.58,8510983.51,698720.07,8.21,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
62,1000_100005_Q4 2023,1000,Executive,100005,Enterprise Solutions Group,2023,4,Q4 2023,BUDGET,10835918.11,11026410.13,-190492.02,-1.73,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
63,1001_100005_Q1 2026,1001,Corporate,100005,Enterprise Solutions Group,2026,1,Q1 2026,BUDGET,790851.53,659587.42,131264.11,19.90,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
64,1007_100001_Q1 2023,1007,Manufacturing,100001,Acme Corporation,2023,1,Q1 2023,BUDGET,3785002.47,3326918.97,458083.50,13.77,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
65,1007_100001_Q1 2024,1007,Manufacturing,100001,Acme Corporation,2024,1,Q1 2024,BUDGET,7872054.04,8259701.44,-387647.40,-4.69,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
66,1006_100001_Q1 2025,1006,Finance,100001,Acme Corporation,2025,1,Q1 2025,BUDGET,10016302.47,10247835.98,-231533.51,-2.26,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
67,1003_100001_Q3 2023,1003,Marketing Department,100001,Acme Corporation,2023,3,Q3 2023,BUDGET,9816527.34,9089703.70,726823.64,8.00,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
68,1005_100002_Q4 2023,1005,R&D,100002,Global Industries Inc,2023,4,Q4 2023,BUDGET,10545210.15,10370970.94,174239.21,1.68,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
69,1003_100001_Q1 2026,1003,Marketing Department,100001,Acme Corporation,2026,1,Q1 2026,BUDGET,755784.29,669895.59,85888.70,12.82,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
70,1006_100002_Q1 2024,1006,Finance,100002,Global Industries Inc,2024,1,Q1 2024,BUDGET,9418397.10,8899868.26,518528.84,5.83,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
71,1000_100003_Q3 2024,1000,Executive,100003,TechVentures LLC,2024,3,Q3 2024,BUDGET,10271242.37,9297795.87,973446.50,10.47,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
72,1007_100002_Q1 2024,1007,Manufacturing,100002,Global Industries Inc,2024,1,Q1 2024,BUDGET,9427863.42,8355211.05,1072652.37,12.84,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
73,1003_100002_Q1 2026,1003,Marketing Department,100002,Global Industries Inc,2026,1,Q1 2026,BUDGET,909921.12,768882.99,141038.13,18.34,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
74,1005_100002_Q2 2025,1005,R&D,100002,Global Industries Inc,2025,2,Q2 2025,BUDGET,10215616.26,9678290.00,537326.26,5.55,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
75,1000_100005_Q4 2024,1000,Executive,100005,Enterprise Solutions Group,2024,4,Q4 2024,BUDGET,11642118.51,10252769.71,1389348.80,13.55,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
76,1006_100005_Q2 2024,1006,Finance,100005,Enterprise Solutions Group,2024,2,Q2 2024,BUDGET,9304201.74,9475668.03,-171466.29,-1.81,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
77,1004_100004_Q4 2024,1004,Engineering,100004,International Holdings Ltd,2024,4,Q4 2024,BUDGET,8993087.31,9559081.62,-565994.31,-5.92,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
78,1004_100004_Q2 2025,1004,Engineering,100004,International Holdings Ltd,2025,2,Q2 2025,BUDGET,11514451.12,9873180.63,1641270.49,16.62,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
79,1000_100004_Q3 2024,1000,Executive,100004,International Holdings Ltd,2024,3,Q3 2024,BUDGET,8178438.96,8911644.90,-733205.94,-8.23,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
80,1000_100004_Q4 2024,1000,Executive,100004,International Holdings Ltd,2024,4,Q4 2024,BUDGET,10890851.06,10239519.74,651331.32,6.36,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
81,1007_100001_Q1 2025,1007,Manufacturing,100001,Acme Corporation,2025,1,Q1 2025,BUDGET,9099749.70,9994846.71,-895097.01,-8.96,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
82,1001_100004_Q3 2024,1001,Corporate,100004,International Holdings Ltd,2024,3,Q3 2024,BUDGET,9229326.76,8092118.26,1137208.50,14.05,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
83,1003_100005_Q3 2025,1003,Marketing Department,100005,Enterprise Solutions Group,2025,3,Q3 2025,BUDGET,9537431.53,9432634.53,104797.00,1.11,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
84,1001_100003_Q2 2025,1001,Corporate,100003,TechVentures LLC,2025,2,Q2 2025,BUDGET,9295750.97,9345452.59,-49701.62,-0.53,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
85,1003_100001_Q1 2023,1003,Marketing Department,100001,Acme Corporation,2023,1,Q1 2023,BUDGET,3208948.02,3178279.71,30668.31,0.96,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
86,1000_100003_Q1 2024,1000,Executive,100003,TechVentures LLC,2024,1,Q1 2024,BUDGET,10550970.69,10341585.42,209385.27,2.02,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
87,1002_100003_Q4 2023,1002,Sales Department,100003,TechVentures LLC,2023,4,Q4 2023,BUDGET,9407679.61,9821443.59,-413763.98,-4.21,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
88,1006_100005_Q1 2025,1006,Finance,100005,Enterprise Solutions Group,2025,1,Q1 2025,BUDGET,10226085.16,10037848.30,188236.86,1.88,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
89,1006_100002_Q4 2024,1006,Finance,100002,Global Industries Inc,2024,4,Q4 2024,BUDGET,8622317.43,9490895.64,-868578.21,-9.15,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
90,1003_100003_Q4 2024,1003,Marketing Department,100003,TechVentures LLC,2024,4,Q4 2024,BUDGET,8381098.69,9039544.80,-658446.11,-7.28,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
91,1007_100005_Q3 2025,1007,Manufacturing,100005,Enterprise Solutions Group,2025,3,Q3 2025,BUDGET,9012668.77,9110476.57,-97807.80,-1.07,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
92,1000_100004_Q4 2023,1000,Executive,100004,International Holdings Ltd,2023,4,Q4 2023,BUDGET,11872566.59,11584824.77,287741.82,2.48,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
93,1004_100001_Q1 2023,1004,Engineering,100001,Acme Corporation,2023,1,Q1 2023,BUDGET,3077534.38,3365167.15,-287632.77,-8.55,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
94,1002_100004_Q1 2025,1002,Sales Department,100004,International Holdings Ltd,2025,1,Q1 2025,BUDGET,11846367.20,10267626.63,1578740.57,15.38,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
95,1003_100002_Q3 2023,1003,Marketing Department,100002,Global Industries Inc,2023,3,Q3 2023,BUDGET,8200229.37,8934914.69,-734685.32,-8.22,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
96,1006_100003_Q1 2023,1006,Finance,100003,TechVentures LLC,2023,1,Q1 2023,BUDGET,3844972.11,3238817.79,606154.32,18.72,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
97,1005_100002_Q1 2026,1005,R&D,100002,Global Industries Inc,2026,1,Q1 2026,BUDGET,783589.65,750130.93,33458.72,4.46,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
98,1004_100003_Q1 2025,1004,Engineering,100003,TechVentures LLC,2025,1,Q1 2025,BUDGET,9794137.01,10515560.15,-721423.14,-6.86,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
99,1001_100001_Q3 2024,1001,Corporate,100001,Acme Corporation,2024,3,Q3 2024,BUDGET,8922930.74,8274910.51,648020.23,7.83,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
