period_month,third_party_id,customer_name,legal_entity_id,legal_entity_name,rev_recognized_amount,rev_recognition_indicator,contract_id,contract_number,contract_amortization_value,period_transaction_count,rev_sku_all,rev_sku_labor,rev_sku_compute,rev_sku_materials,rev_sku_subcontractor,rev_sku_equipment,rev_sku_overhead,rev_billed_amount,rev_received_amount,rev_linear_payments,rev_nonlinear_payments
2023-03-01,10000194,Williams & Diaz Company,100005,Enterprise Solutions Group,58690.22000000001,consumption_revenue,null,null,null,17,58690.22000000001,3031.11,13350.89,3772.6800000000003,4767.530000000001,13442.05,20325.96,56971.76000000002,56971.76000000002,null,58690.22000000001
2024-08-01,10000183,Wagner Supplier,100005,Enterprise Solutions Group,14533.740000000002,consumption_revenue,null,null,null,6,14533.740000000002,5000,null,3209.96,2022.1,null,4301.68,14509.67,14509.67,1022.1,13511.64
2023-07-01,10000084,Johnbury Payroll Services Co,100004,International Holdings Ltd,37139.49,consumption_revenue,null,null,null,9,37139.49,6466.68,10552.96,null,2891.04,17128.81,100,37936.340000000004,37936.340000000004,null,37139.49
2025-10-01,10000037,Jackson & Daniel Solutions,100001,Acme Corporation,67337.74,consumption_revenue,null,null,null,20,67337.74,null,10589.619999999999,11377.9,16187.21,19354.93,9828.08,66478.82999999999,66478.82999999999,null,67337.74
2024-06-01,10000238,American Investment Co,100004,International Holdings Ltd,22555.690000000002,consumption_revenue,null,null,null,7,22555.690000000002,7418.870000000001,5000,4281.42,4350.04,1505.36,null,22561.63,22561.63,null,22555.690000000002
2025-04-01,10000273,Global Credit Inc,100002,Global Industries Inc,58281.34,consumption_revenue,null,null,null,5,58281.34,null,null,50000,3070.91,699.85,4510.58,54577.450000000004,54577.450000000004,null,58281.34
2025-04-01,10000054,American Auditing Corporation,100001,Acme Corporation,43441.25000000001,consumption_revenue,null,null,null,14,43441.25000000001,9183.63,8475.45,3359.15,9288.38,500,12634.64,44251.47,44251.47,null,43441.25000000001
2023-11-01,10000034,Lynch Insurance,100002,Global Industries Inc,52669.619999999995,consumption_revenue,null,null,null,17,52669.619999999995,976.35,20000,2207.69,6753.64,6714.33,16017.61,52547.53999999999,52547.53999999999,null,52669.619999999995
2025-05-01,10000189,Martin & Ramos Associates,100002,Global Industries Inc,26708.600000000002,consumption_revenue,null,null,null,8,26708.600000000002,5000,null,null,7229.12,null,14479.48,26037.5,26037.5,null,26708.600000000002
2025-05-01,10000231,Jessicamouth Payroll Services Advisors,100005,Enterprise Solutions Group,53350.22,consumption_revenue,30000933,OUT000933,262808.62166666664,12,53350.22,1512.16,5377.18,23482.29,5287.48,17691.11,null,55371.369999999995,55371.369999999995,null,53350.22
2024-08-01,10000151,Brown-Silva Bank Solutions,100001,Acme Corporation,76646.26,consumption_revenue,null,null,null,11,76646.26,10000,6320.18,495.69,11728.73,48101.66,null,75175.53,75175.53,null,76646.26
2024-05-01,10000286,Global Bank Associates,100005,Enterprise Solutions Group,58374.04,consumption_revenue,null,null,null,6,58374.04,null,null,8119.2,null,41216.69,9038.15,61187.439999999995,61187.439999999995,null,58374.04
2024-09-01,10000102,Global Investment Solutions,100005,Enterprise Solutions Group,66346.03999999998,consumption_revenue,null,null,null,12,66346.03999999998,10000,null,18264.519999999997,2981.52,25000,10100,66466.59,66466.59,2981.52,63364.51999999999
2024-07-01,10000255,American Payroll Services Solutions,100005,Enterprise Solutions Group,9761.61,consumption_revenue,null,null,null,5,9761.61,322.25,547.63,8891.73,null,null,null,9832.05,9832.05,null,9761.61
2025-04-01,10000156,South Consulting Corp,100003,TechVentures LLC,37472.09,consumption_revenue,null,null,null,11,37472.09,2713.3,1801.22,6748.11,4972.84,8019.610000000001,13217.01,36921.9,36921.9,1224.53,36247.56
2024-03-01,10000268,Mack Supplier,100001,Acme Corporation,92074.82999999999,consumption_revenue,null,null,null,24,92074.82999999999,6387.42,7197.29,23083.45,31057.84,9100.220000000001,15248.61,91964.18,91964.18,5676.97,86397.85999999999
2025-10-01,10000268,Mack Supplier,100004,International Holdings Ltd,105690.51999999997,consumption_revenue,null,null,null,16,105690.51999999997,5000,9485.74,100,7621.72,62223.310000000005,21259.75,105187.43999999999,105187.43999999999,null,105690.51999999997
2025-04-01,10000090,American Insurance Corporation,100005,Enterprise Solutions Group,7499.4,consumption_revenue,null,null,null,3,7499.4,null,3090.32,null,null,null,4409.08,7038.27,7038.27,null,7499.4
2025-01-01,10000206,Kimberlychester Credit Company,100005,Enterprise Solutions Group,30903.14,consumption_revenue,null,null,null,10,30903.14,4787,518.36,7600.9,11685.970000000001,6210.91,100,30976.740000000005,30976.740000000005,null,30903.14
2023-01-01,10000178,Baker Auditing Financial,100001,Acme Corporation,45923.53999999999,consumption_revenue,null,null,null,14,45923.53999999999,5072.61,4289.89,17812.22,2000,null,16748.82,45935.04,45935.04,null,45923.53999999999
2025-08-01,10000162,Donovan-Harris Vendor Group,100004,International Holdings Ltd,48397.009999999995,consumption_revenue,null,null,null,23,48397.009999999995,4628.99,5389.179999999999,7151.97,9690.89,20001.54,1534.44,48679.17,48679.17,null,48397.009999999995
2024-12-01,10000138,Global Insurance Co,100003,TechVentures LLC,55436.64000000001,consumption_revenue,null,null,null,9,55436.64000000001,1187.25,255.87,4791.09,24489.32,14310.45,10402.66,53625.03,53625.03,23053.54,32383.099999999995
2024-01-01,10000061,Global Consulting Services,100005,Enterprise Solutions Group,132058.94,consumption_revenue,null,null,null,13,132058.94,10496.57,2406.02,450.93,101260.67,500,16944.750000000004,142349.18000000008,142349.18000000008,2220.67,129838.27
2024-11-01,10000024,Herrerafurt Investment Corporation,100004,International Holdings Ltd,22185.190000000002,consumption_revenue,null,null,null,10,22185.190000000002,null,5557.42,null,5338.49,3733.82,7555.46,22102.76,22102.76,null,22185.190000000002
2024-04-01,10000253,Global Investment Partners,100003,TechVentures LLC,26421.28,consumption_revenue,null,null,null,8,26421.28,null,8347.99,10261.27,5307.47,685.22,1819.33,26992.17,26992.17,null,26421.28
2024-08-01,10000026,Calderon-Montgomery Leasing Corporation,100002,Global Industries Inc,51988.630000000005,consumption_revenue,null,null,null,16,51988.630000000005,4934.4400000000005,11439.63,null,27797.24,5712.35,2104.97,50013.82,50013.82,null,51988.630000000005
2025-02-01,10000035,Global Leasing Corp,100004,International Holdings Ltd,46149.07,consumption_revenue,null,null,null,8,46149.07,null,852.92,6159.86,30312.72,3432.27,5391.3,44184.62,44184.62,null,46149.07
2025-02-01,10000037,Jackson & Daniel Solutions,100001,Acme Corporation,140916.47999999998,consumption_revenue,null,null,null,17,140916.47999999998,7423.24,null,11380.15,54188.950000000004,50000,17924.140000000003,144057.72,144057.72,1434.76,139481.72
2024-07-01,10000037,Jackson & Daniel Solutions,100003,TechVentures LLC,48518.22,consumption_revenue,null,null,null,18,48518.22,558.4,13239.87,2710.03,24176.510000000002,7211.79,621.62,47471.71,47471.71,6111.15,42407.07
2024-11-01,10000113,Lee-Davis Supplier Corporation,100005,Enterprise Solutions Group,80102.01,consumption_revenue,null,null,null,16,80102.01,119.59,null,1199.85,5701.34,55020.42,18060.809999999998,83554.83999999998,83554.83999999998,761.42,79340.59
2025-01-01,10000115,American Vendor Associates,100005,Enterprise Solutions Group,57886.13000000001,consumption_revenue,null,null,null,15,57886.13000000001,12561.98,1685.05,10668.58,19520.29,2866.97,10583.26,54405.270000000004,54405.270000000004,10000,47886.13000000001
2025-09-01,10000086,Humphrey Supplier,100004,International Holdings Ltd,77269.61,consumption_revenue,null,null,null,14,77269.61,12966.64,8977.33,13300.93,29722.66,8342.470000000001,3959.58,76576.59999999999,76576.59999999999,8331.74,68937.87
2024-11-01,10000267,Carr Vendor,100002,Global Industries Inc,26751.48,consumption_revenue,null,null,null,11,26751.48,3420.1899999999996,7922.77,314.64,13601.91,null,1491.97,26053.699999999997,26053.699999999997,314.64,26436.84
2024-02-01,10000228,Global Tax Services Company,100005,Enterprise Solutions Group,44242.100000000006,consumption_revenue,null,null,null,16,44242.100000000006,1960.34,11235.95,409.84,10918.87,500,19217.100000000002,43561.170000000006,43561.170000000006,null,44242.100000000006
2025-08-01,10000124,White & Ford Co,100003,TechVentures LLC,55015.95,consumption_revenue,null,null,null,15,55015.95,9344.93,null,9668.05,10497.630000000001,16028.61,9476.73,55652.69,55652.69,null,55015.95
2025-06-01,10000136,American Payroll Services Co,100005,Enterprise Solutions Group,79046.46,consumption_revenue,null,null,null,10,79046.46,15000,5664.99,null,42128.77,16252.7,null,81164.07999999999,81164.07999999999,null,79046.46
2025-10-01,10000253,Global Investment Partners,100003,TechVentures LLC,46154.79,consumption_revenue,null,null,null,14,46154.79,10000,2910.26,9832.02,8108.82,12516.369999999999,2787.32,45470.05000000001,45470.05000000001,3289.99,42864.8
2023-02-01,10000127,South Benefits Provider Company,100001,Acme Corporation,39410.86,consumption_revenue,null,null,null,15,39410.86,6961.14,1845.4299999999998,4040.7799999999997,2552.09,19708.379999999997,4303.04,38593.409999999996,38593.409999999996,null,39410.86
2024-03-01,10000036,Global Credit Corporation,100003,TechVentures LLC,24307.46,consumption_revenue,null,null,null,7,24307.46,4401.65,1516.2,null,5032.99,9938.86,3417.76,24881.05,24881.05,null,24307.46
2024-08-01,10000216,American Auditing Associates,100002,Global Industries Inc,112058.29,consumption_revenue,null,null,null,19,112058.29,8795.75,7150.02,39605.41,43887.67,10012.77,2606.67,109316.72999999998,109316.72999999998,1000,111058.29
2024-08-01,10000061,Global Consulting Services,100004,International Holdings Ltd,59213.579999999994,consumption_revenue,null,null,null,16,59213.579999999994,465.18,5269.46,7607.69,33023.59,8625.849999999999,4221.8099999999995,61498.560000000005,61498.560000000005,5879.86,53333.719999999994
2024-06-01,10000088,American Leasing Advisors,100005,Enterprise Solutions Group,17944.86,consumption_revenue,null,null,null,6,17944.86,null,5000,124.88,null,7666.05,5153.93,17805.41,17805.41,2548.86,15396
2024-04-01,10000188,Anderson & Whitney Company,100001,Acme Corporation,33225.17,consumption_revenue,null,null,null,9,33225.17,15572.3,5362.49,6342.18,null,null,5948.2,32238.45,32238.45,null,33225.17
2025-05-01,10000134,Russell Credit Partners,100002,Global Industries Inc,24173.1,consumption_revenue,null,null,null,11,24173.1,8558.98,5237.99,5736.72,2769.83,null,1869.5800000000002,24257.019999999997,24257.019999999997,237.99,23935.11
2023-05-01,10000233,South Insurance Co,100001,Acme Corporation,113624.92000000001,consumption_revenue,null,null,null,29,113624.92000000001,5907.71,19553.15,15285.81,11674.230000000001,42449.96,18754.06,114926.95,114926.95,null,113624.92000000001
2025-02-01,10000207,West Legal Services Financial,100005,Enterprise Solutions Group,20799.170000000002,consumption_revenue,null,null,null,6,20799.170000000002,null,1145.81,14183.52,1000,4469.84,null,21971.059999999998,21971.059999999998,null,20799.170000000002
2024-04-01,10000024,Herrerafurt Investment Corporation,100001,Acme Corporation,154781.21000000002,consumption_revenue,30002419,OUT002419,128059.53818181818,39,154781.21000000002,18656.539999999997,26268.85,49088.549999999996,16977.22,21796.75,21993.3,157341.33999999997,157341.33999999997,1020.82,153760.38999999998
2025-02-01,10000044,American Consulting LLC,100002,Global Industries Inc,26067.85,consumption_revenue,null,null,null,6,26067.85,127.29,null,22273.89,2325.12,1341.55,null,25048.809999999998,25048.809999999998,null,26067.85
2025-08-01,10000207,West Legal Services Financial,100002,Global Industries Inc,40443.29,consumption_revenue,null,null,null,20,40443.29,7367.4400000000005,12168.77,830.13,6523.63,1604.5900000000001,11948.73,41085.200000000004,41085.200000000004,null,40443.29
2023-04-01,10000265,"Collins, Vendor Corp",100004,International Holdings Ltd,31041.260000000002,consumption_revenue,null,null,null,6,31041.260000000002,5000,1839.43,null,null,10839.22,13362.609999999999,30309.720000000005,30309.720000000005,null,31041.260000000002
2024-06-01,10000205,Johnson-Doyle Investment Associates,100003,TechVentures LLC,77963.81,consumption_revenue,null,null,null,25,77963.81,6047.400000000001,9205.47,11462.37,14632.83,27494.09,9121.650000000001,79457.66000000002,79457.66000000002,null,77963.81
2024-03-01,10000044,American Consulting LLC,100003,TechVentures LLC,35779.729999999996,consumption_revenue,null,null,null,13,35779.729999999996,4743.79,8729.84,1810.43,14381.869999999999,4459.37,1654.43,35674.72,35674.72,884.41,34895.32
2024-10-01,10000047,Lewis & Porter Advisors,100003,TechVentures LLC,65938.6,consumption_revenue,null,null,null,20,65938.6,171.6,19594.87,957.66,8007.43,33109.100000000006,4097.94,67186.92,67186.92,25000,40938.6
2025-05-01,10000256,Carpenter & Pena Consulting,100003,TechVentures LLC,25818.200000000004,consumption_revenue,null,null,null,6,25818.200000000004,404.65,2100.43,6281.28,null,7031.84,10000,25644.66,25644.66,null,25818.200000000004
2023-10-01,10000157,American Payroll Services Consulting,100001,Acme Corporation,20253.39,consumption_revenue,null,null,null,9,20253.39,1301.75,6107.57,null,10997.34,1846.73,null,20818.730000000003,20818.730000000003,null,20253.39
2023-11-01,10000206,Kimberlychester Credit Company,100001,Acme Corporation,26351.27,consumption_revenue,null,null,null,9,26351.27,5000,326.27,5506.4800000000005,3095.7,2422.82,10000,26380.489999999998,26380.489999999998,null,26351.27
2024-12-01,10000206,Kimberlychester Credit Company,100004,International Holdings Ltd,81275,consumption_revenue,null,null,null,19,81275,17213.2,5000,33124.6,4035.6499999999996,1000,20901.550000000003,79563.47,79563.47,1323.05,79951.95000000001
2024-10-01,10000194,Williams & Diaz Company,100004,International Holdings Ltd,59912.479999999996,consumption_revenue,null,null,null,13,59912.479999999996,1176.82,5000,30458.98,14695.650000000001,6658.12,1922.91,62127.69,62127.69,5500,54412.479999999996
2025-08-01,10000137,Global Vendor Inc,100001,Acme Corporation,58061.039999999986,consumption_revenue,null,null,null,15,58061.039999999986,5664.66,11067.59,12973.92,null,4603.93,23750.94,57506.94,57506.94,2752.28,55308.759999999995
2025-05-01,10000158,New Investment Company,100001,Acme Corporation,45259.43000000001,consumption_revenue,null,null,null,14,45259.43000000001,6316.13,3767.2200000000003,9202.11,1000,706.54,24267.429999999997,46063.5,46063.5,null,45259.43000000001
2025-08-01,10000186,American Investment Consulting,100003,TechVentures LLC,30245.449999999997,consumption_revenue,null,null,null,15,30245.449999999997,6100.070000000001,95.3,5342.78,2000,4365.12,12342.18,30782.180000000004,30782.180000000004,null,30245.449999999997
2024-06-01,10000057,"Baker, Insurance Corp",100001,Acme Corporation,21926.910000000003,consumption_revenue,null,null,null,14,21926.910000000003,8444.93,10577.03,1031.33,null,500,1373.62,22177.34,22177.34,null,21926.910000000003
2023-08-01,10000118,"Valdez, Tax Services Company",100002,Global Industries Inc,82703.47000000002,consumption_revenue,null,null,null,13,82703.47000000002,13358.43,null,42982.15,17504.54,3698.33,5160.02,87135.06,87135.06,null,82703.47000000002
2024-06-01,10000066,American Vendor Solutions,100002,Global Industries Inc,120411.47000000002,consumption_revenue,null,null,null,19,120411.47000000002,1439.46,15304.6,45186.76,13492.25,31207.63,13780.77,120447.72,120447.72,5000,115411.47000000002
2024-02-01,10000285,American Vendor Financial,100004,International Holdings Ltd,71211.73999999999,consumption_revenue,null,null,null,11,71211.73999999999,1397.73,null,29164.72,3470.21,27179.08,10000,70997.62999999999,70997.62999999999,null,71211.73999999999
2023-07-01,10000206,Kimberlychester Credit Company,100001,Acme Corporation,147306.41999999995,consumption_revenue,30002373,OUT002373,108180.92875,43,147306.41999999995,12604.03,18205.989999999998,27558.979999999996,19283.739999999998,32647.350000000002,37006.33,143765.77,143765.77,null,147306.41999999995
2024-04-01,10000129,Garcia Credit,100002,Global Industries Inc,40724.43000000001,consumption_revenue,null,null,null,14,40724.43000000001,13909.720000000001,null,2950.7,4614.8,18406.9,842.31,40983.49999999999,40983.49999999999,null,40724.43000000001
2024-03-01,10000012,American Investment Group,100001,Acme Corporation,59680.61,consumption_revenue,null,null,null,12,59680.61,null,11300.7,3948.63,1000,25000,18431.28,61273.25000000001,61273.25000000001,null,59680.61
2025-06-01,10000179,Global Vendor Associates,100002,Global Industries Inc,25795.299999999996,consumption_revenue,null,null,null,11,25795.299999999996,724.57,5000,4843.66,9772.58,1500,3954.4900000000002,27174.169999999995,27174.169999999995,null,25795.299999999996
2024-06-01,10000159,Harvey Payroll Services,100003,TechVentures LLC,13449.35,consumption_revenue,null,null,null,9,13449.35,1450.97,50,3226.86,1000,null,7721.5199999999995,13532.270000000002,13532.270000000002,8613.130000000001,4836.22
2025-05-01,10000005,Global Insurance Financial,100003,TechVentures LLC,38270.229999999996,consumption_revenue,30002452,OUT002452,1006810.845,17,38270.229999999996,9207.720000000001,8452.29,5841.75,1000,1638.08,12130.39,38277.92,38277.92,null,38270.229999999996
2023-06-01,10000163,"Edwards, Insurance Consulting",100005,Enterprise Solutions Group,41261.98,consumption_revenue,null,null,null,15,41261.98,7949.76,1019.34,6616.2300000000005,3005.65,4795.25,17875.75,39902.340000000004,39902.340000000004,271.14,40990.840000000004
2025-04-01,10000256,Carpenter & Pena Consulting,100004,International Holdings Ltd,45384.530000000006,consumption_revenue,null,null,null,9,45384.530000000006,5000,5260.98,null,11860.86,23162.690000000002,100,44901.27,44901.27,null,45384.530000000006
2025-10-01,10000272,American Legal Services Company,100002,Global Industries Inc,18946,consumption_revenue,null,null,null,10,18946,996.85,1047.96,6528.07,1577.9,3430.44,5364.780000000001,18692.62,18692.62,null,18946
2023-04-01,10000172,Suarez Auditing Company,100001,Acme Corporation,128250.76999999999,consumption_revenue,null,null,null,11,128250.76999999999,13136.05,1732.11,1168.46,93083.87,16610.87,2519.41,134214.26,134214.26,null,128250.76999999999
2024-09-01,10000199,Clark-Wright Leasing Corporation,100001,Acme Corporation,44415.32000000001,consumption_revenue,null,null,null,10,44415.32000000001,null,15687.94,13903.82,12301.689999999999,500,2021.87,43947.149999999994,43947.149999999994,null,44415.32000000001
2023-07-01,10000111,"Anderson, Legal Services Consulting",100005,Enterprise Solutions Group,265391.38000000006,consumption_revenue,null,null,null,33,265391.38000000006,16464.82,12716.68,69976.55,76664.95,82811.09999999999,6757.280000000001,277151.52,277151.52,null,265391.38000000006
2023-12-01,10000134,Russell Credit Partners,100004,International Holdings Ltd,52061.62,consumption_revenue,null,null,null,16,52061.62,10520.08,5000,2460.29,12978.04,3347.83,17755.379999999997,52460.74999999999,52460.74999999999,null,52061.62
2024-12-01,10000246,Fisher Benefits Provider Associates,100005,Enterprise Solutions Group,43867.96,consumption_revenue,null,null,null,13,43867.96,1834.13,7772.8099999999995,1996.5,2250.98,4086.9500000000003,25926.59,44323.020000000004,44323.020000000004,null,43867.96
2025-09-01,10000224,Sheilaville Supplier Associates,100002,Global Industries Inc,50238.25,consumption_revenue,null,null,null,16,50238.25,5086.82,16017.91,5410.32,6403.99,6992.98,10326.23,50106.270000000004,50106.270000000004,null,50238.25
2025-09-01,10000037,Jackson & Daniel Solutions,100003,TechVentures LLC,38633.97,consumption_revenue,null,null,null,9,38633.97,5000,2481.1400000000003,3038.81,null,18114.02,10000,38656.28999999999,38656.28999999999,6400.24,32233.73
2024-07-01,10000206,Kimberlychester Credit Company,100005,Enterprise Solutions Group,97578.56,consumption_revenue,null,null,null,16,97578.56,5000,3926.44,8792.17,77157.44,733.32,1969.19,92203.62999999999,92203.62999999999,5000,92578.56
2023-03-01,10000281,American Tax Services Inc,100003,TechVentures LLC,44405.05,consumption_revenue,null,null,null,13,44405.05,12945.45,7386.98,13372.939999999999,9582.69,1116.99,null,43892.31,43892.31,1528.6,42876.450000000004
2024-09-01,10000069,Mack & Peterson Services,100005,Enterprise Solutions Group,53147.93,consumption_revenue,null,null,null,12,53147.93,5753.81,null,26307.230000000003,1000,13923.49,6163.400000000001,53985.80000000001,53985.80000000001,null,53147.93
2023-11-01,10000173,Mitchell & Kim Advisors,100003,TechVentures LLC,28652.050000000003,consumption_revenue,null,null,null,8,28652.050000000003,null,9595.15,16325.75,1000,1731.15,null,28502.45,28502.45,5000,23652.050000000003
2025-01-01,10000085,Global Benefits Provider Consulting,100004,International Holdings Ltd,35208.990000000005,consumption_revenue,null,null,null,11,35208.990000000005,5640.360000000001,5614.7699999999995,1126.64,11481.79,1345.43,10000,35369.65,35369.65,139.77,35069.22
2025-06-01,10000216,American Auditing Associates,100004,International Holdings Ltd,15815.13,consumption_revenue,null,null,null,9,15815.13,1421.75,2502.83,3277.4100000000003,1140.83,2425.8100000000004,5046.5,15226.099999999999,15226.099999999999,null,15815.13
2025-07-01,10000205,Johnson-Doyle Investment Associates,100003,TechVentures LLC,51043.47,consumption_revenue,null,null,null,8,51043.47,2365.79,5000,1013.34,16709.52,15954.82,10000,51490.64000000001,51490.64000000001,null,51043.47
2024-01-01,10000086,Humphrey Supplier,100002,Global Industries Inc,88054.37999999999,consumption_revenue,null,null,null,19,88054.37999999999,5847.610000000001,13317.48,25508.17,32404.45,1150.71,9825.96,86809.36,86809.36,1556.75,86497.62999999999
2024-11-01,10000011,Global Legal Services Corporation,100005,Enterprise Solutions Group,23271.199999999997,consumption_revenue,null,null,null,8,23271.199999999997,3398,null,13053.61,3192.77,null,3626.8199999999997,23018.739999999998,23018.739999999998,null,23271.199999999997
2023-02-01,10000104,American Benefits Provider Associates,100004,International Holdings Ltd,37134.28,consumption_revenue,null,null,null,8,37134.28,5000,5000,null,2596.8599999999997,14537.42,10000,36910.9,36910.9,null,37134.28
2024-08-01,10000296,Meadows Payroll Services,100004,International Holdings Ltd,122128.12999999999,consumption_revenue,null,null,null,16,122128.12999999999,5000,17637.82,3374.76,69579.42,25000,1536.13,121369.41,121369.41,null,122128.12999999999
2025-03-01,10000046,Robbins Auditing,100001,Acme Corporation,113369.61,consumption_revenue,null,null,null,6,113369.61,null,5165.52,null,85076.54,23127.550000000003,null,119193.54,119193.54,null,113369.61
2023-10-01,10000074,Global Benefits Provider Services,100005,Enterprise Solutions Group,78943.93000000001,consumption_revenue,null,null,null,13,78943.93000000001,13332.15,null,23632.55,2515.31,37530.5,1933.42,76541.15999999999,76541.15999999999,null,78943.93000000001
2025-04-01,10000206,Kimberlychester Credit Company,100001,Acme Corporation,60248.729999999996,consumption_revenue,null,null,null,9,60248.729999999996,2107,97.87,1281.33,50502.01,500,5760.52,59580.63,59580.63,null,60248.729999999996
2025-04-01,10000158,New Investment Company,100001,Acme Corporation,31623.729999999996,consumption_revenue,null,null,null,9,31623.729999999996,2307.27,null,396.74,2000,22179.13,4740.59,33547.11,33547.11,900.64,30723.089999999997
2024-11-01,10000123,American Tax Services Solutions,100001,Acme Corporation,20864.859999999997,consumption_revenue,30002411,OUT002411,806557.7852173912,13,20864.859999999997,666.1800000000001,2641.5,3258.13,null,5520.110000000001,8778.94,20073.01,20073.01,1187.56,19677.3
2024-08-01,10000106,"Brown, Leasing Associates",100001,Acme Corporation,64636.16999999999,consumption_revenue,30000734,OUT000734,345944.24,18,64636.16999999999,4991.19,6691.48,15894.73,31237.41,3440.55,2380.81,66905.92,66905.92,null,64636.16999999999
2025-01-01,10000123,American Tax Services Solutions,100003,TechVentures LLC,42608.47,consumption_revenue,null,null,null,13,42608.47,6626.72,6848.22,2771.08,8601,2967.5299999999997,14793.919999999998,43534.96,43534.96,7771.08,34837.39
2024-06-01,10000113,Lee-Davis Supplier Corporation,100002,Global Industries Inc,60164.43000000001,consumption_revenue,null,null,null,17,60164.43000000001,4611.389999999999,5000,3360.8999999999996,14094.8,18554.58,14542.76,60408.3,60408.3,555.68,59608.75000000001
